seq,aou,english,french,spanish,order,family,genus,species,unid_combined,sci_name,GenLength
592,1940,Great Blue Heron,Grand Héron,Ardea herodias,Pelecaniformes,Ardeidae,Ardea,herodias,TRUE,Ardea herodias,7.44001806
593,1920,(Great White Heron) Great Blue Heron,Grand Héron (blanche),Ardea herodias occidentalis,Pelecaniformes,Ardeidae,Ardea,herodias occidentalis,TRUE,Ardea herodias occidentalis,7.44001806
595,1960,Great Egret,Grande Aigrette,Ardea alba,Pelecaniformes,Ardeidae,Ardea,alba,TRUE,Ardea alba,6.036657469
598,1961,Little Egret,Aigrette garzette,Egretta garzetta,Pelecaniformes,Ardeidae,Egretta,garzetta,TRUE,Egretta garzetta,4.243232507
600,1970,Snowy Egret,Aigrette neigeuse,Egretta thula,Pelecaniformes,Ardeidae,Egretta,thula,TRUE,Egretta thula,4.106743696
601,2000,Little Blue Heron,Aigrette bleue,Egretta caerulea,Pelecaniformes,Ardeidae,Egretta,caerulea,TRUE,Egretta caerulea,3.463573215
602,1990,Tricolored Heron,Aigrette tricolore,Egretta tricolor,Pelecaniformes,Ardeidae,Egretta,tricolor,TRUE,Egretta tricolor,5.300525251
603,1980,Reddish Egret,Aigrette roussâtre,Egretta rufescens,Pelecaniformes,Ardeidae,Egretta,rufescens,TRUE,Egretta rufescens,8.27913135
604,2001,Cattle Egret,Héron garde-boeufs,Bubulcus ibis,Pelecaniformes,Ardeidae,Bubulcus,ibis,TRUE,Bubulcus ibis,6.069601865
606,2010,Green Heron,Héron vert,Butorides virescens,Pelecaniformes,Ardeidae,Butorides,virescens,TRUE,Butorides virescens,4.210398689
609,2020,Black-crowned Night-Heron,Bihoreau gris,Nycticorax nycticorax,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,TRUE,Nycticorax nycticorax,5.994405196
610,2030,Yellow-crowned Night-Heron,Bihoreau violacé,Nyctanassa violacea,Pelecaniformes,Ardeidae,Nyctanassa,violacea,TRUE,Nyctanassa violacea,4.640267872
611,2035,unid Black-crowned / Yellow-crowned Night-Heron,unid Bihoreau gris / Bihoreau violacé,Nycticorax / Nyctanassa nycticorax / violacea,Pelecaniformes,Ardeidae,Nycticorax / Nyctanassa,nycticorax / violacea,TRUE,Nycticorax / Nyctanassa nycticorax / violacea,NA
613,1945,unid. heron / egret,unid héron / aigrette sp.,Ardeid sp.,Pelecaniformes,Ardeidae,Ardeid,sp.,TRUE,Ardeid sp.,NA
614,1840,White Ibis,Ibis blanc,Eudocimus albus,Pelecaniformes,Threskiornithidae,Eudocimus,albus,TRUE,Eudocimus albus,6.506976058
616,1860,Glossy Ibis,Ibis falcinelle,Plegadis falcinellus,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus,TRUE,Plegadis falcinellus,7.246297223
617,1870,White-faced Ibis,Ibis à face blanche,Plegadis chihi,Pelecaniformes,Threskiornithidae,Plegadis,chihi,TRUE,Plegadis chihi,5.140344254
618,1861,unid. Glossy Ibis / White-faced Ibis,unid Ibis falcinelle / Ibis à face blanche,Plegadis falcinellus / chihi,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus / chihi,TRUE,Plegadis falcinellus / chihi,NA
619,1830,Roseate Spoonbill,Spatule rosée,Platalea ajaja,Pelecaniformes,Threskiornithidae,Platalea,ajaja,TRUE,Platalea ajaja,7.852077571
620,3240,California Condor,Condor de Californie,Gymnogyps californianus,Cathartiformes,Cathartidae,Gymnogyps,californianus,TRUE,Gymnogyps californianus,19.02782152
622,3260,Black Vulture,Urubu noir,Coragyps atratus,Cathartiformes,Cathartidae,Coragyps,atratus,TRUE,Coragyps atratus,14.19923167
623,3250,Turkey Vulture,Urubu à tête rouge,Cathartes aura,Cathartiformes,Cathartidae,Cathartes,aura,TRUE,Cathartes aura,6.805193786
624,3255,unid. Black Vulture / Turkey Vulture,unid Urubu noir / Urubu à tête rouge,Coragyps / Cathartes atratus / aura,Cathartiformes,Cathartidae,Coragyps / Cathartes,atratus / aura,TRUE,Coragyps / Cathartes atratus / aura,NA
626,3640,Osprey,Balbuzard pêcheur,Pandion haliaetus,Accipitriformes,Pandionidae,Pandion,haliaetus,TRUE,Pandion haliaetus,9.901877185
627,3280,White-tailed Kite,Élanion à queue blanche,Elanus leucurus,Accipitriformes,Accipitridae,Elanus,leucurus,TRUE,Elanus leucurus,4.286761197
628,3271,Hook-billed Kite,Bec-en-croc de Temminck,Chondrohierax uncinatus,Accipitriformes,Accipitridae,Chondrohierax,uncinatus,TRUE,Chondrohierax uncinatus,5.812065414
630,3270,Swallow-tailed Kite,Naucler à queue fourchue,Elanoides forficatus,Accipitriformes,Accipitridae,Elanoides,forficatus,TRUE,Elanoides forficatus,6.56465429
633,3490,Golden Eagle,Aigle royal,Aquila chrysaetos,Accipitriformes,Accipitridae,Aquila,chrysaetos,TRUE,Aquila chrysaetos,16.25526957
638,3310,Northern Harrier,Busard des marais,Circus hudsonius,Accipitriformes,Accipitridae,Circus,hudsonius,TRUE,Circus hudsonius,4.471506812
640,3320,Sharp-shinned Hawk,Épervier brun,Accipiter striatus,Accipitriformes,Accipitridae,Accipiter,striatus,TRUE,Accipiter striatus,5.472726925
641,3330,Cooper's Hawk,Épervier de Cooper,Accipiter cooperii,Accipitriformes,Accipitridae,Accipiter,cooperii,TRUE,Accipiter cooperii,5.552181056
643,3340,Northern Goshawk,Autour des palombes,Accipiter gentilis,Accipitriformes,Accipitridae,Accipiter,gentilis,TRUE,Accipiter gentilis,7.483527603
644,3333,unid. Accipiter hawk,unid épervier sp.,Accipiter sp.,Accipitriformes,Accipitridae,Accipiter,sp.,TRUE,Accipiter sp.,NA
646,3520,Bald Eagle,Pygargue à tête blanche,Haliaeetus leucocephalus,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,TRUE,Haliaeetus leucocephalus,14.1937938
649,3290,Mississippi Kite,Milan du Mississippi,Ictinia mississippiensis,Accipitriformes,Accipitridae,Ictinia,mississippiensis,TRUE,Ictinia mississippiensis,5.087532041
653,3300,Snail Kite,Milan des marais,Rostrhamus sociabilis,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,TRUE,Rostrhamus sociabilis,6.950263444
654,3450,Common Black Hawk,Buse noire,Buteogallus anthracinus,Accipitriformes,Accipitridae,Buteogallus,anthracinus,TRUE,Buteogallus anthracinus,6.337329136
658,3350,Harris's Hawk,Buse de Harris,Parabuteo unicinctus,Accipitriformes,Accipitridae,Parabuteo,unicinctus,TRUE,Parabuteo unicinctus,6.591665147
659,3410,White-tailed Hawk,Buse à queue blanche,Geranoaetus albicaudatus,Accipitriformes,Accipitridae,Geranoaetus,albicaudatus,TRUE,Geranoaetus albicaudatus,6.56131443
661,3460,Gray Hawk,Buse grise,Buteo plagiatus,Accipitriformes,Accipitridae,Buteo,plagiatus,TRUE,Buteo plagiatus,5.921470545
662,3390,Red-shouldered Hawk,Buse à épaulettes,Buteo lineatus,Accipitriformes,Accipitridae,Buteo,lineatus,TRUE,Buteo lineatus,5.553059841
663,3430,Broad-winged Hawk,Petite Buse,Buteo platypterus,Accipitriformes,Accipitridae,Buteo,platypterus,TRUE,Buteo platypterus,5.770490449
664,3440,Short-tailed Hawk,Buse à queue courte,Buteo brachyurus,Accipitriformes,Accipitridae,Buteo,brachyurus,TRUE,Buteo brachyurus,6.410114842
665,3420,Swainson's Hawk,Buse de Swainson,Buteo swainsoni,Accipitriformes,Accipitridae,Buteo,swainsoni,TRUE,Buteo swainsoni,8.447092745
666,3400,Zone-tailed Hawk,Buse à queue barrée,Buteo albonotatus,Accipitriformes,Accipitridae,Buteo,albonotatus,TRUE,Buteo albonotatus,6.688781903
667,3370,Red-tailed Hawk (all forms),Buse à queue rousse (toutes les formes),Buteo jamaicensis,Accipitriformes,Accipitridae,Buteo,jamaicensis,TRUE,Buteo jamaicensis,9.188919209
668,3380,(Harlan's Hawk) Red-tailed Hawk,Buse à queue rousse (groupe harlani),Buteo jamaicensis harlani,Accipitriformes,Accipitridae,Buteo,jamaicensis harlani,TRUE,Buteo jamaicensis harlani,9.188919209
669,3470,Rough-legged Hawk,Buse pattue,Buteo lagopus,Accipitriformes,Accipitridae,Buteo,lagopus,TRUE,Buteo lagopus,7.360487325
670,3480,Ferruginous Hawk,Buse rouilleuse,Buteo regalis,Accipitriformes,Accipitridae,Buteo,regalis,TRUE,Buteo regalis,6.860257537
672,3451,unid. Buteo hawk,unid Buse sp.,Buteo sp.,Accipitriformes,Accipitridae,Buteo,sp.,TRUE,Buteo sp.,NA
673,3650,Barn Owl,Effraie des clochers,Tyto alba,Strigiformes,Tytonidae,Tyto,alba,TRUE,Tyto alba,5.81585489
675,3740,Flammulated Owl,Petit-duc nain,Psiloscops flammeolus,Strigiformes,Strigidae,Psiloscops,flammeolus,TRUE,Psiloscops flammeolus,2.988728353
676,3731,Whiskered Screech-Owl,Petit-duc à moustaches,Megascops trichopsis,Strigiformes,Strigidae,Megascops,trichopsis,TRUE,Megascops trichopsis,2.804824262
679,3732,Western Screech-Owl,Petit-duc des montagnes,Megascops kennicottii,Strigiformes,Strigidae,Megascops,kennicottii,TRUE,Megascops kennicottii,3.55858021
680,3730,Eastern Screech-Owl,Petit-duc maculé,Megascops asio,Strigiformes,Strigidae,Megascops,asio,TRUE,Megascops asio,3.933060173
685,3750,Great Horned Owl,Grand-duc d'Amérique,Bubo virginianus,Strigiformes,Strigidae,Bubo,virginianus,TRUE,Bubo virginianus,7.580364415
686,3760,Snowy Owl,Harfang des neiges,Bubo scandiacus,Strigiformes,Strigidae,Bubo,scandiacus,TRUE,Bubo scandiacus,8.099700474
687,3770,Northern Hawk Owl,Chouette épervière,Surnia ulula,Strigiformes,Strigidae,Surnia,ulula,TRUE,Surnia ulula,3.258330764
688,3790,Northern Pygmy-Owl,Chevêchette naine,Glaucidium gnoma,Strigiformes,Strigidae,Glaucidium,gnoma,TRUE,Glaucidium gnoma,2.412193292
692,3800,Ferruginous Pygmy-Owl,Chevêchette brune,Glaucidium brasilianum,Strigiformes,Strigidae,Glaucidium,brasilianum,TRUE,Glaucidium brasilianum,2.930105264
693,3810,Elf Owl,Chevêchette des saguaros,Micrathene whitneyi,Strigiformes,Strigidae,Micrathene,whitneyi,TRUE,Micrathene whitneyi,2.606385289
694,3780,Burrowing Owl,Chevêche des terriers,Athene cunicularia,Strigiformes,Strigidae,Athene,cunicularia,TRUE,Athene cunicularia,3.059077808
695,3690,Spotted Owl,Chouette tachetée,Strix occidentalis,Strigiformes,Strigidae,Strix,occidentalis,TRUE,Strix occidentalis,6.652308631
696,3680,Barred Owl,Chouette rayée,Strix varia,Strigiformes,Strigidae,Strix,varia,TRUE,Strix varia,6.404935458
701,3700,Great Gray Owl,Chouette lapone,Strix nebulosa,Strigiformes,Strigidae,Strix,nebulosa,TRUE,Strix nebulosa,5.974684397
702,3660,Long-eared Owl,Hibou moyen-duc,Asio otus,Strigiformes,Strigidae,Asio,otus,TRUE,Asio otus,4.927442511
704,3670,Short-eared Owl,Hibou des marais,Asio flammeus,Strigiformes,Strigidae,Asio,flammeus,TRUE,Asio flammeus,3.982087093
706,3710,Boreal Owl,Nyctale de Tengmalm,Aegolius funereus,Strigiformes,Strigidae,Aegolius,funereus,TRUE,Aegolius funereus,4.116172628
707,3720,Northern Saw-whet Owl,Petite Nyctale,Aegolius acadicus,Strigiformes,Strigidae,Aegolius,acadicus,TRUE,Aegolius acadicus,2.61847962
714,3890,Elegant Trogon,Trogon élégant,Trogon elegans,Trogoniformes,Trogonidae,Trogon,elegans,TRUE,Trogon elegans,3.930487667
727,3901,Ringed Kingfisher,Martin-pêcheur à ventre roux,Megaceryle torquata,Coraciiformes,Alcedinidae,Megaceryle,torquata,TRUE,Megaceryle torquata,4.48502311
728,3900,Belted Kingfisher,Martin-pêcheur d'Amérique,Megaceryle alcyon,Coraciiformes,Alcedinidae,Megaceryle,alcyon,TRUE,Megaceryle alcyon,2.692133072
731,3910,Green Kingfisher,Martin-pêcheur vert,Chloroceryle americana,Coraciiformes,Alcedinidae,Chloroceryle,americana,TRUE,Chloroceryle americana,2.714784873
739,4080,Lewis's Woodpecker,Pic de Lewis,Melanerpes lewis,Piciformes,Picidae,Melanerpes,lewis,TRUE,Melanerpes lewis,2.232979572
740,4060,Red-headed Woodpecker,Pic à tête rouge,Melanerpes erythrocephalus,Piciformes,Picidae,Melanerpes,erythrocephalus,TRUE,Melanerpes erythrocephalus,2.651364715
741,4070,Acorn Woodpecker,Pic glandivore,Melanerpes formicivorus,Piciformes,Picidae,Melanerpes,formicivorus,TRUE,Melanerpes formicivorus,4.71306791
746,4110,Gila Woodpecker,Pic des saguaros,Melanerpes uropygialis,Piciformes,Picidae,Melanerpes,uropygialis,TRUE,Melanerpes uropygialis,2.646667733
747,4100,Golden-fronted Woodpecker,Pic à front doré,Melanerpes aurifrons,Piciformes,Picidae,Melanerpes,aurifrons,TRUE,Melanerpes aurifrons,2.595243572
748,4090,Red-bellied Woodpecker,Pic à ventre roux,Melanerpes carolinus,Piciformes,Picidae,Melanerpes,carolinus,TRUE,Melanerpes carolinus,2.670782129
749,4040,Williamson's Sapsucker,Pic de Williamson,Sphyrapicus thyroideus,Piciformes,Picidae,Sphyrapicus,thyroideus,TRUE,Sphyrapicus thyroideus,1.942203555
750,4020,Yellow-bellied Sapsucker,Pic maculé,Sphyrapicus varius,Piciformes,Picidae,Sphyrapicus,varius,TRUE,Sphyrapicus varius,2.039788041
751,4021,Red-naped Sapsucker,Pic à nuque rouge,Sphyrapicus nuchalis,Piciformes,Picidae,Sphyrapicus,nuchalis,TRUE,Sphyrapicus nuchalis,1.950032103
752,4030,Red-breasted Sapsucker,Pic à poitrine rouge,Sphyrapicus ruber,Piciformes,Picidae,Sphyrapicus,ruber,TRUE,Sphyrapicus ruber,1.881848945
753,4022,Sapsuckers (Yellow-bellied/Red-naped/Red-breasted/Williamson's),Pics buveur de sève (maculé/à nuque rouge/à poitrine rouge),Sphyrapicus sp.,Piciformes,Picidae,Sphyrapicus,sp.,TRUE,Sphyrapicus sp.,1.953468161
754,4010,American Three-toed Woodpecker,Pic à dos rayé,Picoides dorsalis,Piciformes,Picidae,Picoides,dorsalis,TRUE,Picoides dorsalis,3.07341632
755,4000,Black-backed Woodpecker,Pic à dos noir,Picoides arcticus,Piciformes,Picidae,Picoides,arcticus,TRUE,Picoides arcticus,3.350072462
757,3940,Downy Woodpecker,Pic mineur,Dryobates pubescens,Piciformes,Picidae,Dryobates,pubescens,TRUE,Dryobates pubescens,2.534501603
758,3970,Nuttall's Woodpecker,Pic de Nuttall,Dryobates nuttallii,Piciformes,Picidae,Dryobates,nuttallii,TRUE,Dryobates nuttallii,2.60174637
759,3960,Ladder-backed Woodpecker,Pic arlequin,Dryobates scalaris,Piciformes,Picidae,Dryobates,scalaris,TRUE,Dryobates scalaris,2.517709841
760,3950,Red-cockaded Woodpecker,Pic à face blanche,Dryobates borealis,Piciformes,Picidae,Dryobates,borealis,TRUE,Dryobates borealis,3.03043827
761,3930,Hairy Woodpecker,Pic chevelu,Dryobates villosus,Piciformes,Picidae,Dryobates,villosus,TRUE,Dryobates villosus,3.112775309
762,3990,White-headed Woodpecker,Pic à tête blanche,Dryobates albolarvatus,Piciformes,Picidae,Dryobates,albolarvatus,TRUE,Dryobates albolarvatus,2.593478519
764,3975,Arizona Woodpecker,Pic d'Arizona,Dryobates arizonae,Piciformes,Picidae,Dryobates,arizonae,TRUE,Dryobates arizonae,2.761360186
768,4123,Northern Flicker (all forms),Pic flamboyant (toutes les formes),Colaptes auratus,Piciformes,Picidae,Colaptes,auratus,TRUE,Colaptes auratus,2.701236365
769,4120,(Yellow-shafted Flicker) Northern Flicker,Pic flamboyant (groupe auratus),Colaptes auratus auratus,Piciformes,Picidae,Colaptes,auratus auratus,TRUE,Colaptes auratus auratus,2.701236365
770,4130,(Red-shafted Flicker) Northern Flicker,Pic flamboyant (groupe cafer),Colaptes auratus cafer,Piciformes,Picidae,Colaptes,auratus cafer,TRUE,Colaptes auratus cafer,2.701236365
771,4125,hybrid Northern Flicker (Red x Yellow-shafted),hybride Pic flamboyant (cafer x auratus),Colaptes auratus auratus x auratus cafer,Piciformes,Picidae,Colaptes,auratus auratus x auratus cafer,TRUE,Colaptes auratus auratus x auratus cafer,NA
772,4140,Gilded Flicker,Pic chrysoïde,Colaptes chrysoides,Piciformes,Picidae,Colaptes,chrysoides,TRUE,Colaptes chrysoides,3.274948209
775,4050,Pileated Woodpecker,Grand Pic,Dryocopus pileatus,Piciformes,Picidae,Dryocopus,pileatus,TRUE,Dryocopus pileatus,4.378856859
777,3920,unid. woodpecker,unid Pic sp.,Woodpecker sp.,Piciformes,Picidae,Woodpecker,sp.,TRUE,Woodpecker sp.,NA
782,3620,Crested Caracara,Caracara huppé,Caracara plancus,Falconiformes,Falconidae,Caracara,plancus,TRUE,Caracara plancus,7.753500149
784,3600,American Kestrel,Crécerelle d'Amérique,Falco sparverius,Falconiformes,Falconidae,Falco,sparverius,TRUE,Falco sparverius,3.029874828
786,3570,Merlin,Faucon émerillon,Falco columbarius,Falconiformes,Falconidae,Falco,columbarius,TRUE,Falco columbarius,3.176692949
788,3590,Aplomado Falcon,Faucon aplomado,Falco femoralis,Falconiformes,Falconidae,Falco,femoralis,TRUE,Falco femoralis,4.158521747
791,3540,Gyrfalcon,Faucon gerfaut,Falco rusticolus,Falconiformes,Falconidae,Falco,rusticolus,TRUE,Falco rusticolus,6.127488041
792,3560,Peregrine Falcon,Faucon pèlerin,Falco peregrinus,Falconiformes,Falconidae,Falco,peregrinus,TRUE,Falco peregrinus,5.712366517
793,3550,Prairie Falcon,Faucon des prairies,Falco mexicanus,Falconiformes,Falconidae,Falco,mexicanus,TRUE,Falco mexicanus,4.955306116
794,3824,Monk Parakeet,Conure veuve,Myiopsitta monachus,Psittaciformes,Psittacidae,Myiopsitta,monachus,TRUE,Myiopsitta monachus,5.477657609
797,51830,Nanday Parakeet,Conure nanday,Aratinga nenday,Psittaciformes,Psittacidae,Aratinga,nenday,TRUE,Aratinga nenday,3.825958896
811,52021,Yellow-chevroned Parakeet,Toui à ailes jaunes,Brotogeris chiriri,Psittaciformes,Psittacidae,Brotogeris,chiriri,TRUE,Brotogeris chiriri,7.037671657
812,3827,unid. White-winged / Yellow-chevroned Parakeet,Toui à ailes variées / Toui à ailes jaunes,Brotogeris versicolurus / chiriri,Psittaciformes,Psittacidae,Brotogeris,versicolurus / chiriri,TRUE,Brotogeris versicolurus / chiriri,NA
817,3826,Red-crowned Parrot,Amazone à joues vertes,Amazona viridigenalis,Psittaciformes,Psittacidae,Amazona,viridigenalis,TRUE,Amazona viridigenalis,10.24997758
824,3823,Rose-ringed Parakeet,Perruche à collier,Psittacula krameri,Psittaciformes,Psittaculidae,Psittacula,krameri,TRUE,Psittacula krameri,10.31522925
826,3822,Budgerigar,Perruche ondulée,Melopsittacus undulatus,Psittaciformes,Psittaculidae,Melopsittacus,undulatus,TRUE,Melopsittacus undulatus,3.852174375
839,4411,Rose-throated Becard,Bécarde à gorge rose,Pachyramphus aglaiae,Passeriformes,Tityridae,Pachyramphus,aglaiae,TRUE,Pachyramphus aglaiae,2.607869298
852,4720,Northern Beardless-Tyrannulet,Tyranneau imberbe,Camptostoma imberbe,Passeriformes,Tyrannidae,Camptostoma,imberbe,TRUE,Camptostoma imberbe,2.074777603
862,4550,Dusky-capped Flycatcher,Tyran olivâtre,Myiarchus tuberculifer,Passeriformes,Tyrannidae,Myiarchus,tuberculifer,TRUE,Myiarchus tuberculifer,2.87880942
863,4540,Ash-throated Flycatcher,Tyran à gorge cendrée,Myiarchus cinerascens,Passeriformes,Tyrannidae,Myiarchus,cinerascens,TRUE,Myiarchus cinerascens,2.989367065
865,4520,Great Crested Flycatcher,Tyran huppé,Myiarchus crinitus,Passeriformes,Tyrannidae,Myiarchus,crinitus,TRUE,Myiarchus crinitus,3.336289418
866,4530,Brown-crested Flycatcher,Tyran de Wied,Myiarchus tyrannulus,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,TRUE,Myiarchus tyrannulus,3.281657418
869,4490,Great Kiskadee,Tyran quiquivi,Pitangus sulphuratus,Passeriformes,Tyrannidae,Pitangus,sulphuratus,TRUE,Pitangus sulphuratus,2.985169291
873,4510,Sulphur-bellied Flycatcher,Tyran tigré,Myiodynastes luteiventris,Passeriformes,Tyrannidae,Myiodynastes,luteiventris,TRUE,Myiodynastes luteiventris,2.9963369
877,4460,Tropical Kingbird,Tyran mélancolique,Tyrannus melancholicus,Passeriformes,Tyrannidae,Tyrannus,melancholicus,TRUE,Tyrannus melancholicus,2.553791151
878,4461,Couch's Kingbird,Tyran de Couch,Tyrannus couchii,Passeriformes,Tyrannidae,Tyrannus,couchii,TRUE,Tyrannus couchii,2.638102132
879,4462,unid. Tropical Kingbird / Couch's Kingbird,unid Tyran mélancolique / Tyran de Couch,Tyrannus melancholicus / couchii,Passeriformes,Tyrannidae,Tyrannus,melancholicus / couchii,TRUE,Tyrannus melancholicus / couchii,NA
880,4480,Cassin's Kingbird,Tyran de Cassin,Tyrannus vociferans,Passeriformes,Tyrannidae,Tyrannus,vociferans,TRUE,Tyrannus vociferans,2.724748003
881,4451,Thick-billed Kingbird,Tyran à bec épais,Tyrannus crassirostris,Passeriformes,Tyrannidae,Tyrannus,crassirostris,TRUE,Tyrannus crassirostris,2.839835302
882,4470,Western Kingbird,Tyran de l'Ouest,Tyrannus verticalis,Passeriformes,Tyrannidae,Tyrannus,verticalis,TRUE,Tyrannus verticalis,2.646492858
883,4447,unid. Cassin's Kingbird / Western Kingbird,unid Tyran de Cassin / Tyran de l'Ouest,Tyrannus vociferans / verticalis,Passeriformes,Tyrannidae,Tyrannus,vociferans / verticalis,TRUE,Tyrannus vociferans / verticalis,NA
884,4440,Eastern Kingbird,Tyran tritri,Tyrannus tyrannus,Passeriformes,Tyrannidae,Tyrannus,tyrannus,TRUE,Tyrannus tyrannus,2.586855542
885,4450,Gray Kingbird,Tyran gris,Tyrannus dominicensis,Passeriformes,Tyrannidae,Tyrannus,dominicensis,TRUE,Tyrannus dominicensis,2.892699702
887,4430,Scissor-tailed Flycatcher,Tyran à longue queue,Tyrannus forficatus,Passeriformes,Tyrannidae,Tyrannus,forficatus,TRUE,Tyrannus forficatus,2.346737821
888,4420,Fork-tailed Flycatcher,Tyran des savanes,Tyrannus savana,Passeriformes,Tyrannidae,Tyrannus,savana,TRUE,Tyrannus savana,2.835616027
892,4590,Olive-sided Flycatcher,Moucherolle à côtés olive,Contopus cooperi,Passeriformes,Tyrannidae,Contopus,cooperi,TRUE,Contopus cooperi,3.212456282
893,4600,Greater Pewee,Moucherolle de Coues,Contopus pertinax,Passeriformes,Tyrannidae,Contopus,pertinax,TRUE,Contopus pertinax,2.728570636
894,4620,Western Wood-Pewee,Pioui de l'Ouest,Contopus sordidulus,Passeriformes,Tyrannidae,Contopus,sordidulus,TRUE,Contopus sordidulus,2.318320776
895,4610,Eastern Wood-Pewee,Pioui de l'Est,Contopus virens,Passeriformes,Tyrannidae,Contopus,virens,TRUE,Contopus virens,2.33554447
898,4630,Yellow-bellied Flycatcher,Moucherolle à ventre jaune,Empidonax flaviventris,Passeriformes,Tyrannidae,Empidonax,flaviventris,TRUE,Empidonax flaviventris,1.993268327
899,4650,Acadian Flycatcher,Moucherolle vert,Empidonax virescens,Passeriformes,Tyrannidae,Empidonax,virescens,TRUE,Empidonax virescens,2.657902826
900,4661,Alder Flycatcher,Moucherolle des aulnes,Empidonax alnorum,Passeriformes,Tyrannidae,Empidonax,alnorum,TRUE,Empidonax alnorum,2.162931103
901,4660,Willow Flycatcher,Moucherolle des saules,Empidonax traillii,Passeriformes,Tyrannidae,Empidonax,traillii,TRUE,Empidonax traillii,2.442111367
902,4665,Traill's Flycatcher (Alder/Willow),Moucherolle de Traill (des aulnes/ des saules),Empidonax alnorum / traillii,Passeriformes,Tyrannidae,Empidonax,alnorum / traillii,TRUE,Empidonax alnorum / traillii,2.302521235
904,4670,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,Passeriformes,Tyrannidae,Empidonax,minimus,TRUE,Empidonax minimus,1.995003415
905,4680,Hammond's Flycatcher,Moucherolle de Hammond,Empidonax hammondii,Passeriformes,Tyrannidae,Empidonax,hammondii,TRUE,Empidonax hammondii,1.968662931
906,4691,Gray Flycatcher,Moucherolle gris,Empidonax wrightii,Passeriformes,Tyrannidae,Empidonax,wrightii,TRUE,Empidonax wrightii,1.981054001
907,4690,Dusky Flycatcher,Moucherolle sombre,Empidonax oberholseri,Passeriformes,Tyrannidae,Empidonax,oberholseri,TRUE,Empidonax oberholseri,2.13714676
908,4689,unid. Hammond's Flycatcher / Dusky Flycatcher,unid Moucherolle Hammond's / Moucherolle Dusky,Empidonax hammondii / oberholseri,Passeriformes,Tyrannidae,Empidonax,hammondii / oberholseri,TRUE,Empidonax hammondii / oberholseri,NA
910,4641,Pacific-slope Flycatcher,Moucherolle côtier,Empidonax difficilis,Passeriformes,Tyrannidae,Empidonax,difficilis,TRUE,Empidonax difficilis,2.031465222
911,4640,Cordilleran Flycatcher,Moucherolle des ravins,Empidonax occidentalis,Passeriformes,Tyrannidae,Empidonax,occidentalis,TRUE,Empidonax occidentalis,1.95356427
912,4642,Western Flycatcher (Cordilleran/Pacific-slope),Moucherolle côtier (des ravins/ côtier),Empidonax difficilis / occidentalis,Passeriformes,Tyrannidae,Empidonax,difficilis / occidentalis,TRUE,Empidonax difficilis / occidentalis,1.992514746
914,4700,Buff-breasted Flycatcher,Moucherolle beige,Empidonax fulvifrons,Passeriformes,Tyrannidae,Empidonax,fulvifrons,TRUE,Empidonax fulvifrons,1.75199701
915,4679,unid. Empidonax flycatcher,unid Empidonax sp.,Empidonax sp.,Passeriformes,Tyrannidae,Empidonax,sp.,TRUE,Empidonax sp.,NA
916,4580,Black Phoebe,Moucherolle noir,Sayornis nigricans,Passeriformes,Tyrannidae,Sayornis,nigricans,TRUE,Sayornis nigricans,2.106409313
917,4560,Eastern Phoebe,Moucherolle phébi,Sayornis phoebe,Passeriformes,Tyrannidae,Sayornis,phoebe,TRUE,Sayornis phoebe,2.326197409
918,4570,Say's Phoebe,Moucherolle à ventre roux,Sayornis saya,Passeriformes,Tyrannidae,Sayornis,saya,TRUE,Sayornis saya,2.00366952
919,4710,Vermilion Flycatcher,Moucherolle vermillon,Pyrocephalus rubinus,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,TRUE,Pyrocephalus rubinus,2.285797798
959,6300,Black-capped Vireo,Viréo à tête noire,Vireo atricapilla,Passeriformes,Vireonidae,Vireo,atricapilla,TRUE,Vireo atricapilla,2.563576795
961,6310,White-eyed Vireo,Viréo aux yeux blancs,Vireo griseus,Passeriformes,Vireonidae,Vireo,griseus,TRUE,Vireo griseus,2.409588172
966,6330,Bell's Vireo,Viréo de Bell,Vireo bellii,Passeriformes,Vireonidae,Vireo,bellii,TRUE,Vireo bellii,2.186976141
967,6340,Gray Vireo,Viréo gris,Vireo vicinior,Passeriformes,Vireonidae,Vireo,vicinior,TRUE,Vireo vicinior,2.17768724
968,6320,Hutton's Vireo,Viréo de Hutton,Vireo huttoni,Passeriformes,Vireonidae,Vireo,huttoni,TRUE,Vireo huttoni,2.776791813
969,6280,Yellow-throated Vireo,Viréo à gorge jaune,Vireo flavifrons,Passeriformes,Vireonidae,Vireo,flavifrons,TRUE,Vireo flavifrons,2.352781493
970,6291,Cassin's Vireo,Viréo de Cassin,Vireo cassinii,Passeriformes,Vireonidae,Vireo,cassinii,TRUE,Vireo cassinii,2.30111226
971,6290,Blue-headed Vireo,Viréo à tête bleue,Vireo solitarius,Passeriformes,Vireonidae,Vireo,solitarius,TRUE,Vireo solitarius,2.339618291
